LocationNormalized,CustomerID,total_spent,transactions,city_rank
DONALD JAWAHAR NAGAR NEW DELHI,C6033916,31792.0,1,1
NEW SIDDHAPUDUR COIMBATORE,C3122185,31775.0,1,1
TEH GURGAON DISTT GURGAON GURGAON,C7516988,31717.1,1,1
KANCHIPURAM,C6534746,31666.79,1,1
DISTRICT TAMILNADU HOSUR,C8810637,31666.0,1,1
SANAND,C8618019,31550.0,1,1
MOSCOW,C8523758,31500.0,1,1
VASANT KUNJ NEW DELHI,C9013827,31490.01,1,1
UDHAMPUR,C6129576,31490.0,1,1
AGRA ROAD NASHIK,C7577748,31489.12,1,1
THANE THANE,C8535666,31480.0,1,1
MARG LOWER PAREL MUMBAI,C8537034,31350.0,1,1
(EAST) MUMBAI,C3132863,31306.0,1,1
MALAPPURAM,C6120966,31300.0,1,1
KUNDALAHALLI BENGALURU,C7428555,31271.0,1,1
PITAMPURA NEW DELHI,C2727217,31164.0,1,1
COFFEE DAY PUNE,C6924567,31007.0,1,1
NEWDELHI,C2234133,31000.0,1,1
SANCY LAUNDRY BANGALORE,C2140343,31000.0,1,1
RAS TANURA,C6537249,30999.0,1,1
BLDG KOLKATA,C5342857,30940.0,1,1
RAIGARH,C8484231,30900.0,1,1
SCHOOL THANE,C8095760,30800.0,1,1
AGAR,C4742768,30749.6,1,1
GARDEN POWAI MUMBAI,C1340254,30693.0,1,1
TEYNAMPET CHENNAI,C5736430,30692.19,1,1
ITANAGAR,C4537461,30660.0,1,1
KARAULI,C6642650,30634.88,1,1
COCHIN,C5835162,30600.0,1,1
BHAWANI SHANKAR MUMBAI,C8113589,30400.0,1,1
THENI,C5168316,30400.0,1,1
STEELHOUSE HYDERABAD,C7640990,30183.0,1,1
MUKERIAN,C5321655,30173.0,1,1
BUNGLOW ANDHERI W MUMBAI,C7047264,30007.42,1,1
AIZAWL,C4616836,30000.0,1,1
BANTWAL,C5236059,30000.0,1,1
CHHINDWA,C2115911,30000.0,1,1
DIST RAIGARH NAVI MUMBAI,C6013716,30000.0,1,1
DOMBIVALI EAST,C2018656,30000.0,1,1
HAJIPUR,C4917628,30000.0,1,1
HUGLI,C2332368,30000.0,1,1
"JORHAT, ASSAM",C6518391,30000.0,1,1
KALOL,C2254816,30000.0,1,1
MAHESANA,C6241744,30000.0,1,1
NAGAR BANGALORE,C1816465,30000.0,1,1
NEAR TSIC OFFICE AGARTALA,C6313541,30000.0,1,1
PERAMBALUR,C4228645,30000.0,1,1
RESTAURANT PUNE,C6330151,30000.0,1,1
SAMBA,C7011928,30000.0,1,1
SCHOOL CRESCENT HOUSE PUNE,C6916719,30000.0,1,1
SHANI KALI MANDIR KOLKATA,C5833679,30000.0,1,1
TOWERS BANGALORE,C2122451,30000.0,1,1
MIRA RD THANE,C3539139,29990.0,1,1
APPARTMENTS BANGALORE,C4934242,29929.0,1,1
KOZHIKODE,C4012819,29868.0,1,1
SANGRUR,C6125723,29776.13,1,1
IMPHAL EAST,C2861968,29710.0,1,1
MODI NAGAR,C7236081,29647.0,1,1
CMPL SURAT,C4128826,29628.0,1,1
ANDHERI EAST MUMBAI MUMBAI,C1862192,29572.51,1,1
SCHOOL KALYAN W,C8518571,29520.0,1,1
DURG,C1440375,29500.0,1,1
KARUNAGAPPALLY,C3018042,29500.0,1,1
MANDIR PUNE,C2237148,29485.0,1,1
AIZWAL,C5722656,29363.0,1,1
KUWAIT,C1824719,29334.0,1,1
AHMEDNAGAR,C2862020,29187.0,1,1
HSP,C5824836,29050.0,1,1
KOLLAM DISTRICT,C7521939,29000.0,1,1
HADAPSAR PUNE,C6438032,28989.0,1,1
